순위,티커,종목명,티어,종가,등락률,시가총액,거래량,거래대금,PER,ROE,외국인비율,자동점수,점수상세
1,005930,삼성전자,B,349000,10.09,2040351200000000.0,39372103,13740863947000,28.21,10.85,48.29,70.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 3}"
2,000660,SK하이닉스,C,2363000,1.29,1684115700000000.0,5134915,12133804145000,22.83,44.15,51.44,77.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 4, ""ROE"": 15, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 3}"
3,005935,삼성전자우,?,229000,13.09,183743000000000.0,11149435,2553220615000,18.51,,77.74,,
4,402340,SK스퀘어,C,1256000,1.87,165739700000000.0,1066661,1339726216000,10.67,37.82,48.81,57.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 4, ""ROE"": 12, ""현금흐름"": 3, ""부채안정성"": 10, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 8}"
5,005380,현대차,B,750000,3.73,153568300000000.0,2720257,2040192750000,23.12,8.41,25.99,48.0,"{""사업이해도"": 5, ""매출성장성"": 8, ""영업이익안정성"": 7, ""ROE"": 12, ""현금흐름"": 0, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 3}"
6,009150,삼성전기,B,2005000,-5.74,149760900000000.0,1603108,3214231540000,189.38,7.7,38.14,64.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 4, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
7,373220,LG에너지솔루션,D,455000,-0.66,106470000000000.0,778389,354166995000,-66.41,-5.19,5.29,38.0,"{""사업이해도"": 5, ""매출성장성"": 0, ""영업이익안정성"": 7, ""ROE"": 0, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 0}"
8,032830,삼성생명,B,410000,5.53,82000000000000.0,663500,272035000000,35.61,4.96,23.23,62.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 4, ""현금흐름"": 15, ""부채안정성"": 2, ""해자"": 10, ""주주환원"": 5, ""밸류에이션"": 1}"
9,028260,삼성물산,?,455000,5.2,73786200000000.0,1005218,457374190000,30.51,6.02,31.18,53.0,"{""사업이해도"": 5, ""매출성장성"": 2, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 11, ""부채안정성"": 7, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
10,329180,HD현대중공업,C,684000,-1.72,71793500000000.0,446190,305193960000,33.8,18.82,13.66,62.0,"{""사업이해도"": 5, ""매출성장성"": 10, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 4, ""해자"": 4, ""주주환원"": 5, ""밸류에이션"": 1}"
11,012330,현대모비스,A,761000,-0.91,69047500000000.0,1629896,1240350856000,19.87,7.68,38.16,65.0,"{""사업이해도"": 5, ""매출성장성"": 5, ""영업이익안정성"": 10, ""ROE"": 8, ""현금흐름"": 15, ""부채안정성"": 10, ""해자"": 2, ""주주환원"": 5, ""밸류에이션"": 5}"
