티커,종목명,종가,등락률,시가총액,거래량,거래대금,상장주식수,외국인비율,PER,ROE,순위,시장,티어,테마,섹터,자동점수,점수상세
196170,알테오젠,332500,-4.04,17817500000000.0,317313,105506572500,53586000,14.44,137.68,39.42,1,KOSDAQ,D,[],생물공학,,
247540,에코프로비엠,180100,-8.76,17619300000000.0,772457,139119505700,97830000,14.41,307.86,2.29,2,KOSDAQ,D,[],전기제품,,
086520,에코프로,118500,-8.0,16089500000000.0,1023316,121262946000,135776000,19.45,262.17,-8.39,3,KOSDAQ,D,[],화학,,
277810,레인보우로보틱스,668000,-6.44,12959100000000.0,136427,91133236000,19400000,7.53,10437.5,1.07,4,KOSDAQ,?,[],기계,,
036930,주성엔지니어링,210000,-16.17,9761000000000.0,2799628,587921880000,46481000,9.24,1458.33,6.17,5,KOSDAQ,?,[],반도체와반도체장비,,
950160,코오롱티슈진,99200,-9.41,8405800000000.0,445787,44222070400,84736000,4.83,-28.61,-183.43,6,KOSDAQ,?,[],생물공학,,
058470,리노공업,94100,-5.52,7171500000000.0,816528,76835284800,76212000,23.09,43.99,22.45,7,KOSDAQ,B,[],반도체와반도체장비,,
000250,삼천당제약,292000,-5.65,6849600000000.0,141111,41204412000,23457000,6.59,669.72,1.94,8,KOSDAQ,?,[],제약,,
028300,HLB,50600,-3.62,6739800000000.0,806277,40797616200,133198000,19.88,-34.35,-44.32,9,KOSDAQ,?,[],건강관리장비와용품,,
240810,원익IPS,132700,4.32,6513400000000.0,3153461,418464274700,49084000,19.49,58.79,9.05,10,KOSDAQ,?,[],반도체와반도체장비,,
087010,펩트론,253500,-4.88,5910900000000.0,124268,31501938000,23317000,6.25,-355.54,-9.41,11,KOSDAQ,?,[],생물공학,,
039030,이오테크닉스,478000,-3.63,5888700000000.0,206144,98536832000,12320000,24.64,79.56,8.9,12,KOSDAQ,?,[],반도체와반도체장비,,
298380,에이비엘바이오,99800,-5.85,5587500000000.0,381907,38114318600,55987000,12.83,-227.33,-23.48,13,KOSDAQ,?,[],생물공학,,
440110,파두,109800,-5.34,5500600000000.0,1045791,114827851800,50097000,23.84,-102.14,-131.08,14,KOSDAQ,?,[],반도체와반도체장비,,
141080,리가켐바이오,136100,-6.52,5038300000000.0,391446,53275800600,37019000,10.8,-36.08,-13.22,15,KOSDAQ,?,[],제약,,
108490,로보티즈,320500,-6.7,4697600000000.0,322728,103434324000,14657000,7.96,-721.85,2.49,16,KOSDAQ,?,[],기계,,
178320,서진시스템,70100,1.3,4460600000000.0,2517335,176465183500,63632000,13.54,-32.3,-12.63,17,KOSDAQ,?,[],전기장비,,
095340,ISC,202000,-5.61,4281800000000.0,251506,50804212000,21197000,22.1,61.38,10.6,18,KOSDAQ,?,[],반도체와반도체장비,,
214370,케어젠,77800,-7.93,4179000000000.0,134831,10489851800,53715000,3.86,178.85,9.23,19,KOSDAQ,?,[],건강관리업체및서비스,,
403870,HPSP,50300,5.89,4139700000000.0,9674579,486631323700,82300000,32.02,51.01,24.79,20,KOSDAQ,?,[],반도체와반도체장비,,
347850,디앤디파마텍,92300,-1.81,4043100000000.0,1443306,133217143800,43804000,7.93,-172.52,-31.49,21,KOSDAQ,?,[],생물공학,,
222800,심텍,103000,-9.17,3858800000000.0,1070779,110290237000,37464000,16.57,-31.15,-32.1,22,KOSDAQ,?,[],전자장비와기기,,
310210,보로노이,209500,-6.68,3855300000000.0,110782,23208829000,18402000,5.91,-76.15,-50.18,23,KOSDAQ,?,[],제약,,
319400,현대무벡스,33100,-5.43,3686500000000.0,1342286,44429666600,111376000,2.17,367.78,6.79,24,KOSDAQ,?,[],기계,,
319660,피에스케이,126500,10.58,3664300000000.0,1227232,155244848000,28967000,27.54,36.78,15.54,25,KOSDAQ,?,[],반도체와반도체장비,,
084370,유진테크,156900,0.77,3595500000000.0,473525,74296072500,22916000,38.55,63.45,9.81,26,KOSDAQ,?,[],반도체와반도체장비,,
043260,성호전자,48800,-5.06,3461000000000.0,5989068,292266518400,70923000,3.53,8.35,46.27,27,KOSDAQ,?,[],전기제품,,
080220,제주반도체,93500,-12.86,3220400000000.0,1610596,150590726000,34443000,8.03,28.44,19.21,28,KOSDAQ,?,[],반도체와반도체장비,,
145020,휴젤,246000,-2.19,3026800000000.0,35030,8617380000,12304000,57.8,20.09,16.06,29,KOSDAQ,?,[],생물공학,,
226950,올릭스,148800,-8.26,3020700000000.0,415718,61858838400,20301000,8.25,-257.89,-18.83,30,KOSDAQ,?,[],생명과학도구및서비스,,
214450,파마리서치,286500,-3.37,2976600000000.0,57099,16358863500,10390000,6.41,18.81,26.88,31,KOSDAQ,?,[],건강관리장비와용품,,
064760,티씨케이,264000,-3.65,2951400000000.0,82369,21745416000,11179000,66.43,40.34,13.5,32,KOSDAQ,?,[],반도체와반도체장비,,
357780,솔브레인,363000,-5.59,2823600000000.0,63867,23183721000,7779000,24.44,33.55,7.66,33,KOSDAQ,?,[],반도체와반도체장비,,
010170,대한광통신,18080,-10.94,2811200000000.0,10357240,187258899200,155486000,1.83,-94.17,-52.05,34,KOSDAQ,?,[],통신장비,,
005290,동진쎄미켐,54900,-8.04,2798300000000.0,658267,36138858300,50970000,17.3,21.74,9.52,35,KOSDAQ,?,[],반도체와반도체장비,,
214150,클래시스,42850,-1.49,2795300000000.0,189803,8133058550,65236000,71.28,20.67,26.21,36,KOSDAQ,?,[],건강관리장비와용품,,
067310,하나마이크론,41850,-7.82,2781500000000.0,956297,40021029450,66464000,22.53,27.05,9.89,37,KOSDAQ,?,[],반도체와반도체장비,,
031980,피에스케이홀딩스,126400,1.69,2725500000000.0,450547,56949140800,21562000,7.19,28.35,19.55,38,KOSDAQ,?,[],반도체와반도체장비,,
095610,테스,139200,2.43,2694900000000.0,1107080,154105536000,19360000,11.51,41.63,15.76,39,KOSDAQ,?,[],반도체와반도체장비,,
131970,두산테스나,135600,-8.07,2620800000000.0,353949,47995484400,19327000,7.07,99.49,0.35,40,KOSDAQ,?,[],반도체와반도체장비,,
263750,펄어비스,40500,-4.26,2602000000000.0,421349,17064634500,64248000,6.99,17.46,-1.05,41,KOSDAQ,C,[],게임엔터테인먼트,,
237690,에스티팜,119500,-3.24,2492900000000.0,119248,14250136000,20861000,13.12,35.46,10.03,42,KOSDAQ,?,[],제약,,
032820,우리기술,14200,-9.5,2436800000000.0,3695916,52482007200,171605000,7.69,70.3,0.67,43,KOSDAQ,?,[],우주항공과국방,,
290650,엘앤씨바이오,86200,2.62,2324800000000.0,545357,47009773400,26970000,20.27,-15.58,-57.68,44,KOSDAQ,?,[],건강관리장비와용품,,
058610,에스피지,103700,-7.0,2299800000000.0,268129,27804977300,22177000,6.11,242.86,3.57,45,KOSDAQ,?,[],전기제품,,
131290,티에스이,206000,-7.0,2278700000000.0,57736,11893616000,11061000,11.69,31.63,10.42,46,KOSDAQ,?,[],반도체와반도체장비,,
257720,실리콘투,34100,-5.8,2236200000000.0,702937,23970151700,65576000,7.12,12.14,46.89,47,KOSDAQ,?,[],인터넷과카탈로그소매,,
082920,비츠로셀,48650,-3.47,2205800000000.0,364097,17713319050,45339000,33.26,34.38,18.56,48,KOSDAQ,?,[],전기제품,,
218410,RFHIC,82800,-8.91,2198600000000.0,412499,34154917200,26553000,24.91,69.76,8.84,49,KOSDAQ,?,[],통신장비,,
007390,네이처셀,33950,-1.74,2187600000000.0,1456293,49441147350,64435000,9.09,-789.53,-4.45,50,KOSDAQ,?,[],생물공학,,
098460,고영,31350,-7.52,2152300000000.0,1411912,44263441200,68655000,23.74,78.97,4.48,51,KOSDAQ,B,[],전자장비와기기,,
100790,미래에셋벤처투자,39800,-7.33,2114400000000.0,1099072,43743065600,53125000,3.99,68.38,8.47,52,KOSDAQ,?,[],창업투자,,
083650,비에이치아이,67300,-4.54,2082600000000.0,232304,15634059200,30944000,15.22,33.8,44.36,53,KOSDAQ,?,[],에너지장비및서비스,,
089030,테크윙,54700,1.86,2026800000000.0,1939379,106084031300,37054000,11.66,444.72,4.63,54,KOSDAQ,?,[],반도체와반도체장비,,
140860,파크시스템스,284000,-3.89,1988700000000.0,37043,10520212000,7002000,35.9,80.59,16.69,55,KOSDAQ,?,[],전자장비와기기,,
068760,셀트리온제약,43750,-4.48,1942600000000.0,111036,4857825000,44402000,5.06,48.45,9.31,56,KOSDAQ,?,[],제약,,
078600,대주전자재료,122100,-6.15,1908200000000.0,161788,19754314800,15628000,13.18,187.27,8.6,57,KOSDAQ,?,[],전자장비와기기,,
140410,메지온,62200,-4.01,1890400000000.0,94672,5888598400,30392000,25.54,-50.9,-110.44,58,KOSDAQ,?,[],식품,,
035900,JYP Ent.,53200,-3.97,1890300000000.0,151245,8046234000,35532000,17.53,15.34,29.21,59,KOSDAQ,C,[],방송과엔터테인먼트,,
030530,원익홀딩스,24000,-9.43,1853700000000.0,732272,17574528000,77238000,6.91,96.0,2.78,60,KOSDAQ,?,[],반도체와반도체장비,,
420770,기가비스,144000,3.3,1825300000000.0,234406,33754464000,12676000,3.59,111.46,7.42,61,KOSDAQ,?,[],반도체와반도체장비,,
0009K0,에임드바이오,26500,-4.33,1713800000000.0,412851,10940551500,64671000,1.77,288.04,5.13,62,KOSDAQ,?,[],생물공학,,
041510,에스엠,74400,-5.46,1703400000000.0,87601,6517514400,22895000,32.07,12.95,41.65,63,KOSDAQ,C,[],방송과엔터테인먼트,,
089970,브이엠,68000,-2.16,1684500000000.0,860519,58515292000,24772000,22.11,34.94,17.34,64,KOSDAQ,?,[],반도체와반도체장비,,
